# `plugins/adr/skills/manage-adr/references/adr-scoping.md` を被テスト対象とする固定題材集合の期待帰結層。同じディレクトリの cases.md の各題材が導くべき帰結を持つ層であり、判定を担うサブエージェントへは渡らない（渡るのは cases.md の題材文ブロックのみ）。
# 由来の割り当て基準: 初期集合（Issue #605 完了時点で cases.md に在った題材）は `改訂前から在る` とする。`改訂の結果として追加` は、Issue #605 の完了後に adr-scoping.md を改訂して新たに足した題材へ付す。
# したがって #605 完了時点では由来が `改訂前から在る` 側へ縮退し、`改訂の結果として追加` の行は0件だった。これは欠落ではなく上記基準による設計上の帰結であり、その後の改訂に伴って題材を足した時点で2値が分かれた。
# 期待項目は Issue #605 の Task 3b が題材文へ被テスト対象の手続きを適用して導いた。各題材の「導出すべきもの」に対応する項目だけを数値で保持し、それ以外は `-`（不問）とする。合計は項目から導出できるため保持しない。
# ただし `期待_必要条件=成立` の行に限り、4項目分の確定値が一次資料（当該行の備考）に在る題材は、「導出すべきもの」に対応しない項目も含めて4項目すべてを数値で保持する。確定値が在るのに `-` を据え置くと、期待帰結層が測れる範囲を自ら狭めるためである（#749 で CASE-02・CASE-03 へ適用した）。
# `不成立` の行はこの限りでない。備考に4項目分の確定値が在っても点数欄は全て `-` とする（後掲の不成立行の規定が優先する）。判別子の正本は README §11「Issue #761 の判定記録」が持つ3条件であり、本注記はその要約である。
# 行き先は当初9題材で割れたため、被テスト対象が行き先の分岐の入力として名指しする事実（規範に従う作業者の単複）を題材文の必須要素 (i) として足し、再導出した。再導出では24題材中23題材が一致した。
# 残る割れと、読み次第で値が動く感度は、当該行の備考へ候補値・理由・採った側とともに記録している。被テスト対象は本Issueでは改訂しない。
# 対の相手ID の `NONE` は「対の相手が居ない」ことを表す明示的な記号であり、未記入を意味しない。
# 12列目 `期待_必要条件` は `成立` / `不成立` / `-` のいずれかで、必要条件の成否を測る。
# `-` は必要条件を不問とする記号であり、項目1〜4の `-`（その項目を測らない）とは対象が異なる。
# `不成立` の行では点数を数えないため、期待_項目1〜4 はすべて `-` とし、期待_行き先は一般則の3分岐まで記す。
# 本ファイル先頭の # 行は TSV パーサが解釈しない注記である。機械処理する場合は読み飛ばす。
題材ID	導出すべきもの	期待_項目1	期待_項目2	期待_項目3	期待_項目4	期待_行き先	由来	対の相手ID	出所	備考	期待_必要条件
CASE-25	この決定を記録した ADR 本体・索引・他 ADR からの相互参照と、追跡用の Issue を、項目1 の本数と項目2 の単位に数えるか	-	-	-	-	ADR化しない/共有規約文書	改訂の結果として追加	CASE-29	Issue #632 分岐A（判定手続きの改訂に伴い追加）	ADR 本体・索引・他 ADR からの相互参照・追跡用の Issue を数える読みでは項目1=1（5本）・項目2=1（単位に ADR と Issue が入る）となり合計3点、行き先が `ADR化する` へ反転する。本題材は改訂後の独立2試行を #703 の走行（実行日2026-08-15、対象文書commit `03a5b79`、判定記録 `runs/2026-08-15-cases25-29-judgments.tsv`）で取得済みである。#619・#620・#624 が当該題材の題材文（`cases.md`）を改訂した場合に限り本走行の記録は無効となり、当該題材のみ独立2試行の再実行を要する。題材文を改訂しない題材追加では本行の再実測を要しない。 【人手導出】本Issue の作業者による導出と、題材文と改訂後の対象文書のみを入力とした独立導出1回が、項目1〜4・合計・行き先のすべてで一致した。既存24行の「独立2名」とは担い手の構成が異なる。独立導出の側は、題材文の抽出に用いたフィルタの都合で本題材のメタ行（出所・資産種別・規範の担い方）が視界に入った旨を申告しており、expectations.tsv と runs/ 配下は参照していない。 【#721 PR2／改訂前】必要条件は却下選択肢と却下理由の対を特定できないため不成立。点数欄を不問化し、行き先は現行一般則の3分岐。	不成立
CASE-26	当該決定を指す参照行が置かれていることを採用理由が現に書かれていることと読むか、同居判定へ進むか	-	-	1	-	ADR化する	改訂の結果として追加	NONE	Issue #632 分岐B（判定手続きの改訂に伴い追加）	参照行が置かれていることを採用理由の記述と読む誤読では項目3=0 となり合計2点、行き先が `ADR化しない/共有規約文書` へ反転する。本題材は改訂後の独立2試行を #703 の走行（実行日2026-08-15、対象文書commit `03a5b79`、判定記録 `runs/2026-08-15-cases25-29-judgments.tsv`）で取得済みである。#619・#620・#624 が当該題材の題材文（`cases.md`）を改訂した場合に限り本走行の記録は無効となり、当該題材のみ独立2試行の再実行を要する。題材文を改訂しない題材追加では本行の再実測を要しない。 【人手導出】本Issue の作業者による導出と、題材文と改訂後の対象文書のみを入力とした独立導出1回が、項目1〜4・合計・行き先のすべてで一致した。既存24行の「独立2名」とは担い手の構成が異なる。独立導出の側は、題材文の抽出に用いたフィルタの都合で本題材のメタ行（出所・資産種別・規範の担い方）が視界に入った旨を申告しており、expectations.tsv と runs/ 配下は参照していない。 【#721 PR2／改訂前】必要条件は却下選択肢の名指しと却下理由の対が題材文から特定できるかで再導出。成立。	成立
CASE-27	禁止規範の反転が既存ファイルへの記述の追加だけを要求する場合に項目1 の本数へ数えるか、および本数条件が0点のときに非本数条件4種を個別に評価するか	-	-	-	-	ADR化しない/共有規約文書	改訂の結果として追加	CASE-28	Issue #632 分岐C（判定手続きの改訂に伴い追加）	追加が要るだけの4本を数える誤読では項目1=1（5本）となり合計3点、行き先が `ADR化する` へ反転する。非本数条件4種の個別評価を省いても同じ0点へ偶然到達しうるため、根拠欄で4種が個別に評価されているかを併せて見ること。本題材は改訂後の独立2試行を #703 の走行（実行日2026-08-15、対象文書commit `03a5b79`、判定記録 `runs/2026-08-15-cases25-29-judgments.tsv`）で取得済みである。#619・#620・#624 が当該題材の題材文（`cases.md`）を改訂した場合に限り本走行の記録は無効となり、当該題材のみ独立2試行の再実行を要する。題材文を改訂しない題材追加では本行の再実測を要しない。 【人手導出】本Issue の作業者による導出と、題材文と改訂後の対象文書のみを入力とした独立導出1回が、項目1〜4・合計・行き先のすべてで一致した。既存24行の「独立2名」とは担い手の構成が異なる。独立導出の側は、題材文の抽出に用いたフィルタの都合で本題材のメタ行（出所・資産種別・規範の担い方）が視界に入った旨を申告しており、expectations.tsv と runs/ 配下は参照していない。 【#721 PR2／改訂前】必要条件は却下選択肢と却下理由の対を特定できないため不成立。点数欄を不問化し、行き先は現行一般則の3分岐。	不成立
CASE-28	本数条件が0点のときに非本数条件4種を個別に評価するか（蓄積済みデータの移行の成立を拾えるか）	-	-	-	-	ADR化しない/共有規約文書	改訂の結果として追加	CASE-27	Issue #632 分岐C（本数条件0点時の非本数条件の評価。判定手続きの改訂に伴い追加）	非本数条件の個別評価を省く読みでは項目1=0 となり合計2点、行き先が `ADR化しない/共有規約文書` へ反転する。CASE-27（非本数条件がいずれも不成立で項目1=0）と対で、項目1 の本数条件と非本数条件の書き分けを測る。本題材は改訂後の独立2試行を #703 の走行（実行日2026-08-15、対象文書commit `03a5b79`、判定記録 `runs/2026-08-15-cases25-29-judgments.tsv`）で取得済みである。#619・#620・#624 が当該題材の題材文（`cases.md`）を改訂した場合に限り本走行の記録は無効となり、当該題材のみ独立2試行の再実行を要する。題材文を改訂しない題材追加では本行の再実測を要しない。 【人手導出】本Issue の作業者による導出と、題材文と改訂後の対象文書のみを入力とした独立導出1回が、項目1〜4・合計・行き先のすべてで一致した。既存24行の「独立2名」とは担い手の構成が異なる。独立導出の側は、題材文の抽出に用いたフィルタの都合で本題材のメタ行（出所・資産種別・規範の担い方）が視界に入った旨を申告しており、expectations.tsv と runs/ 配下は参照していない。 【#721 PR2／改訂前】必要条件は却下選択肢と却下理由の対を特定できないため不成立。点数欄を不問化し、行き先は現行一般則の3分岐。	不成立
CASE-29	規範そのものが ADR 文書へ適用される決定で、ADR を項目1 の本数に数えるか（器としての ADR の除外を無限定に読むか）	-	-	-	-	ADR化しない/共有規約文書	改訂の結果として追加	CASE-25	Issue #632 分岐A（ADR 文書が規範の適用先である類型。PR #638 のレビュー指摘に伴い追加）	器としての ADR の除外を無限定に読むと、この決定を記録した ADR 本体を含む ADR 文書2本が本数から落ち、項目1=0（合計1）となる。CASE-25 と対で、同じ ADR というファイルが決定を記録する器として現れる場合と規範の適用先として現れる場合の書き分けを測る。本題材の主題は、規範が ADR 文書へ適用される類型のうち、命名規約の外延という既知の未定義点（CASE-14 / CASE-24 の備考が記録する問題）に触れない文体の規範を選んであり、行き先の割れを持ち込まない設計にしている。本題材は改訂後の独立2試行を #703 の走行（実行日2026-08-15、対象文書commit `03a5b79`、判定記録 `runs/2026-08-15-cases25-29-judgments.tsv`）で取得済みである。#619・#620・#624 が当該題材の題材文（`cases.md`）を改訂した場合に限り本走行の記録は無効となり、当該題材のみ独立2試行の再実行を要する。題材文を改訂しない題材追加では本行の再実測を要しない。 【人手導出】主題を文体の規範へ入れ替えた後の題材文について、本Issue の作業者による導出と、その題材文と改訂後の対象文書のみを入力とした独立導出1回が、項目1〜4・合計・行き先のすべてで一致した（入れ替え前の題材文に対する導出は無効として破棄しており、本行の証跡は入れ替え後の題材文に対するものである）。既存24行の「独立2名」とは担い手の構成が異なる。本題材の独立導出は `### 題材文` ブロックのみを取り出す抽出フィルタを用いており、メタ行（出所・資産種別・規範の担い方）の混入は無く、expectations.tsv と runs/ 配下も参照していない。独立導出の側が唯一挙げた迷いは、項目1 で当該決定を記録した ADR 本体を数えるかという点であり、これは本題材が測ろうとしている書き分けそのものである（規範側の一意性の欠陥として帰属分析へ回すものではなく、測定対象が現に効いていることの記録である）。 【#721 PR2／改訂前】必要条件は却下選択肢と却下理由の対を特定できないため不成立。点数欄を不問化し、行き先は現行一般則の3分岐。	不成立
CASE-30	保持先が無く採用理由を確かめられる決定について、受け入れた代償の説明が採用理由とは別に在るときに項目3 が1点になるか	-	-	1	-	ADR化する	改訂の結果として追加	NONE	Issue #619（README §11 の「条件2 の陽性が0件」の穴を塞ぐため追加）	項目3の1点は受け入れた代償の説明が採用理由とは別に在ることを経由し、却下理由は採用理由と同じ1文のため条件1は不成立。条件3の入力事実は置かず不成立側へ倒す設計であり、契約側の判断と感度は#624で追跡する。CASE-09の変種で、入力事実の差は代償の有無の一点。対の相手IDは、CASE-09がCASE-11と対をなし相互参照検査へ影響するためNONEとした。旧ブランチのCASE-30は採用理由を共有規約ファイル本文へ置いたことで値域(B)が成立し、段1で項目3=0が確定して条件2へ到達しなかった。	成立
# 実測注記（2026-08-16 CASE-30）: 2試行とも値域A=false・値域B=false・採用理由確認可能=true・条件1=false・条件2=trueで項目3=1となった。試行1は条件3=false、試行2は条件3=true（2つのスキル定義へ分かれるため）であり、条件2単独で項目3が1点になったことは試行1で確認できたが、条件3=falseは2試行で再現しなかった。したがって期待行の条件3不成立は観測事実に合わせて未確定として扱い、判別記録・部分集計レポートへ記録し、条件3の入力欠落は#624へ申し送る。
CASE-31	規範の保持先が共有規約文書であり違反が現に止まる決定について、発見型の短絡を経ずに通常の4項目判定へ入り、項目4が0側へ倒れるか	-	-	-	0	ADR化しない/実装・テスト資産・操作手順	改訂の結果として追加	NONE	Issue #620（README §11 の境界題材の穴を塞ぐため追加）	阻止が現に働く側と警告どまり側の分かれ目、および短絡経路と通常判定経路の分かれ目を測る。CASE-01は保持先が実装・テスト資産・操作手順で短絡側、CASE-31は保持先が共有規約文書で通常判定側。項目3は段1で0に確定する設計であり、条件3の入力事実は置かず#624へ追跡する。合計は設計上2を超えず、期待行き先は項目4の読みへ反応しない。対の相手が無いためNONEとする。	成立

CASE-32	条件3の第1連言が成立し、条件1・条件2が不成立のときに項目3が条件3単独で1点になるか	0	1	1	1	ADR化する	改訂の結果として追加	NONE	Issue #624（sources.md に対応する項目なし。条件3の陽性測定点。CASE-09の変種）	CASE-09との差は、作業範囲が2つのスキル定義に分かれ、採用理由を記述できる欄が各スキル定義にある一方、共有規約ファイルにはこの決定の理由欄がない点。条件3のみを成立させ、項目3=1を条件3単独に帰属させる。	成立
